,"﻿""Country Name""",Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
17021,North America,NAC,GDP per capita (Current US$),NY.GDP.PCAP.CD,2942.62886994,2990.76628066,3153.88605004,3281.35123535,3478.08586108,3727.1401651,4040.87900991,4227.76186374,4575.14811015,4906.85250757,5140.49045945,5525.14296495,6017.69495215,6657.81444442,7222.98274917,7787.74857269,8627.87819353,9414.66352737,10441.6087731,11531.2592064,12454.5951188,13827.1183287,14242.8086069,15347.1415253,16809.3650876,17855.7072357,18651.9189708,19720.6856896,21224.3456905,22694.9680474,23696.3712718,24131.307521,25021.2625581,25822.0803876,26988.834439,27968.7292096,29189.8461901,30604.9865877,31761.2416063,33397.9809096,35242.0641955,35942.436273,36794.8536066,38550.0798996,40948.2341843,43514.0819226,45849.0408211,47723.7274692,48232.3100079,46394.3848464,48291.0744258,50027.5781889,51561.4595541,52751.7989855,54295.3424183,55153.2152677,56058.6435186
17549,OECD members,OED,GDP per capita (Current US$),NY.GDP.PCAP.CD,1353.15733497,1400.40641456,1491.92879677,1586.54940571,1711.13097144,1834.49883419,1990.57386549,2112.23299119,2266.76920331,2458.27602923,2669.72751695,2922.73950732,3352.84689921,4008.22451696,4442.70929454,4923.5727699,5288.16569416,5908.42976981,7030.30250325,8046.51250758,8860.74737889,8942.80035085,8733.99779849,8956.24663887,9295.58468042,9724.71324827,11695.7129002,13450.047604,15050.8887643,15622.4493249,17445.3265558,18302.6719663,19505.9503046,19603.7204892,20781.3414514,22730.5772682,22755.2442922,22249.3367542,22324.0225111,23291.0655537,23625.0520257,23246.0798567,24087.7955281,26785.858957,29603.5452789,31077.4270726,32529.8712845,35299.6572225,37081.9321374,34442.0152069,35847.4760693,38328.2754936,38022.549302,38236.2714734,38776.5708497,36395.219534,36863.886578
19133,Post-demographic dividend,PST,GDP per capita (Current US$),NY.GDP.PCAP.CD,1383.60873205,1441.86476605,1538.64740743,1636.7746378,1765.90807314,1897.06715048,2059.18046579,2188.87702536,2352.79811243,2554.77922273,2784.06800853,3058.12673891,3514.05796618,4206.59337893,4654.01912962,5170.35280644,5572.97252196,6257.10279808,7467.35880478,8523.48311676,9375.16286833,9418.29347423,9318.48668706,9621.20159626,10002.6461911,10483.7257399,12737.0069016,14686.213629,16447.4636923,17070.7075816,19034.5732133,19952.4968369,21265.5078535,21272.0084076,22648.3165348,24973.3808124,24973.2743333,24375.4998904,24362.1255112,25449.6603368,25759.2275285,25392.717015,26354.3313194,29416.6756056,32516.3942596,34053.8556409,35626.502903,38636.6544104,40575.026277,38008.844151,39448.5844155,42231.7715911,41989.3448181,42165.8791894,42821.2017391,40337.9538018,41041.8723215
19661,Pre-demographic dividend,PRE,GDP per capita (Current US$),NY.GDP.PCAP.CD,58.7102713473,59.3593240071,63.3707524951,72.2180056035,65.5371810324,72.1110191745,77.3129421746,71.047171868,73.0049318945,80.7830047131,96.3212393816,91.724498741,103.631289584,123.822389862,172.211680205,190.423128267,217.633157353,234.106418776,252.628303412,310.290903495,368.850524696,502.016955448,457.95464677,355.209590461,316.384762243,319.06275486,301.300852324,320.949719231,317.878470094,303.336001087,464.957865203,440.401383389,396.781298828,338.125507864,310.266000619,358.608868198,383.958653544,393.81035728,388.577190042,384.216329999,426.570471967,409.419114104,474.114389707,525.31774708,624.963975339,763.009482832,943.709056708,1108.48565202,1358.25435068,1191.93482312,1368.3164045,1555.18279392,1666.01803741,1771.29147915,1840.63652142,1573.29621019,1387.66847836
20717,South Asia,SAS,GDP per capita (Current US$),NY.GDP.PCAP.CD,81.5609788092,85.2034099102,89.0117975166,97.9611478086,109.756897393,115.384172498,94.8876668478,102.144802308,104.817099679,112.492827432,119.134679703,123.760172957,121.487361091,135.756370551,160.703283406,168.488421075,160.598686854,181.346852325,201.52901845,220.436582949,259.539090659,268.696587966,271.478969612,280.606447787,272.905377587,289.922599705,300.041486226,325.623315866,342.14259219,337.709710605,355.616239886,309.587532275,321.71934701,311.991711273,346.498031367,377.195747914,404.504204831,416.072667907,413.883455439,435.109195632,444.33398911,447.726007588,461.318297039,529.356103547,603.415900815,679.971943869,765.263912623,953.728605099,956.576292597,1036.00087503,1252.17877073,1373.73464953,1370.18913682,1387.13589905,1499.47880728,1545.7613627,1643.4348384
21245,South Asia (IDA & IBRD),TSA,GDP per capita (Current US$),NY.GDP.PCAP.CD,81.5609788092,85.2034099102,89.0117975166,97.9611478086,109.756897393,115.384172498,94.8876668478,102.144802308,104.817099679,112.492827432,119.134679703,123.760172957,121.487361091,135.756370551,160.703283406,168.488421075,160.598686854,181.346852325,201.52901845,220.436582949,259.539090659,268.696587966,271.478969612,280.606447787,272.905377587,289.922599705,300.041486226,325.623315866,342.14259219,337.709710605,355.616239886,309.587532275,321.71934701,311.991711273,346.498031367,377.195747914,404.504204831,416.072667907,413.883455439,435.109195632,444.33398911,447.726007588,461.318297039,529.356103547,603.415900815,679.971943869,765.263912623,953.728605099,956.576292597,1036.00087503,1252.17877073,1373.73464953,1370.18913682,1387.13589905,1499.47880728,1545.7613627,1643.4348384
21773,Sub-Saharan Africa,SSF,GDP per capita (Current US$),NY.GDP.PCAP.CD,129.952985809,131.935170117,139.612810167,156.241368447,148.741801467,161.640458758,170.153132623,163.908248402,170.890567758,190.774125268,218.705532942,216.7152284,237.902411964,296.175937534,377.578630533,404.199788077,426.810868244,457.243201723,491.29943699,575.040100508,701.861345448,962.594629101,861.487286987,723.016104249,637.526722942,588.800604843,598.368133921,662.310621422,670.649420372,662.683584939,655.667762174,648.539490372,622.302322318,564.745419321,541.440584115,604.334540334,607.480143908,614.982857479,573.29934136,563.201875816,584.638482324,542.8067598,576.756411668,704.518788857,855.882499826,992.368046706,1151.17517045,1300.13739433,1450.25663549,1342.21062722,1556.7573341,1719.4935501,1761.92843129,1826.15797946,1866.05680671,1655.38222708,1493.57288016
22301,Sub-Saharan Africa (excluding high income),SSA,GDP per capita (Current US$),NY.GDP.PCAP.CD,129.927455598,131.913670821,139.589753045,156.218225378,148.711660889,161.614473725,170.127472897,163.881897635,170.869956795,190.758740905,218.691328748,216.688956871,237.852161185,296.120845797,377.525627913,404.141600566,426.757369286,457.153203294,491.157377418,574.799954739,701.601943438,962.37788293,861.276817592,722.78923453,637.280786667,588.513097156,598.003062786,661.88026702,670.159718025,662.164212076,655.036017885,647.914284963,621.579852889,563.962935044,540.6557345,603.54308617,606.71997272,614.146772903,572.408709186,562.31193918,583.787626166,541.962157865,575.832691848,703.622948544,854.847106194,991.271387361,1150.00360801,1298.99356645,1449.24453696,1341.35650316,1555.81302414,1718.47870496,1760.95288266,1824.93607632,1864.85882461,1654.16636308,1492.32814201
22829,Sub-Saharan Africa (IDA & IBRD),TSS,GDP per capita (Current US$),NY.GDP.PCAP.CD,129.952985809,131.935170117,139.612810167,156.241368447,148.741801467,161.640458758,170.153132623,163.908248402,170.890567758,190.774125268,218.705532942,216.7152284,237.902411964,296.175937534,377.578630533,404.199788077,426.810868244,457.243201723,491.29943699,575.040100508,701.861345448,962.594629101,861.487286987,723.016104249,637.526722942,588.800604843,598.368133921,662.310621422,670.649420372,662.683584939,655.667762174,648.539490372,622.302322318,564.745419321,541.440584115,604.334540334,607.480143908,614.982857479,573.29934136,563.201875816,584.638482324,542.8067598,576.756411668,704.518788857,855.882499826,992.368046706,1151.17517045,1300.13739433,1450.25663549,1342.21062722,1556.7573341,1719.4935501,1761.92843129,1826.15797946,1866.05680671,1655.38222708,1493.57288016
23357,Upper middle income,UMC,GDP per capita (Current US$),NY.GDP.PCAP.CD,162.27792891,147.322109374,152.192318495,163.881034601,175.714323045,190.491343798,206.59101024,209.526908869,214.140905194,232.121951783,250.692428314,269.017153662,303.305372859,379.141209133,471.719529216,532.41589115,572.878443409,629.945645611,664.211702113,795.214308665,905.024049925,974.128039252,938.054323271,891.179741986,930.996485739,962.754137852,969.689561363,954.291521563,1023.82373205,1130.86855498,1252.68041431,1347.93468467,1276.61046164,1373.15455512,1475.19918781,1642.76989424,1775.82073785,1872.6053553,1828.25024441,1712.15730853,1880.91113027,1898.2361284,1963.49528492,2177.28737849,2590.06594685,3094.33263421,3653.80534661,4513.76100581,5474.53094898,5238.93004366,6297.68602441,7470.46258653,7953.33828829,8403.06911838,8624.58071704,7968.39681006,7870.51007174
23885,World,WLD,GDP per capita (Current US$),NY.GDP.PCAP.CD,450.480281275,462.296647941,487.882090352,514.576605134,552.501111955,589.40516743,626.259847216,653.005695841,690.365307032,744.455791798,802.122858247,867.81161796,980.853622729,1172.04396579,1325.78671578,1448.87577695,1548.50767175,1721.12667466,1991.46413274,2273.57334687,2517.51302397,2561.70348334,2492.23217053,2497.92144567,2547.42711049,2630.72431703,3055.2655464,3415.43167925,3754.94565852,3867.83023329,4275.09385003,4455.65889324,4659.32549608,4662.48550054,4933.11787057,5402.80292099,5444.862636,5349.79562514,5263.13779644,5385.85267436,5488.33771573,5386.09573244,5522.81942842,6120.61416051,6808.3764201,7282.97538394,7793.10998849,8671.45958966,9395.81759411,8798.66553463,9514.94514855,10451.4534968,10563.1522043,10730.3157907,10890.5165813,10182.1925115,10208.9970525
